Dấu thời gian,Giới tính,Năm học hiện tại,Kinh nghiệm sử dụng công cụ số trong học tập ,Trường của bạn nằm ở vùng nào,Tôi hiểu rõ khái niệm và tầm quan trọng của chuyển đổi số trong học tập ngành ngôn ngữ.,Tôi nhận thấy chuyển đổi số mang lại nhiều lợi ích cho người học.,Tôi thấy rất dễ dàng để thực hiện chuyển đổi số trong học tập chuyên ngành của mình.,Nhà trường có chính sách rõ ràng để khuyến khích và thúc đẩy sinh viên thực hiện chuyển đổi số trong học tập,Nhà trường cung cấp đầy đủ tài liệu và chương trình đào tạo liên quan đến chuyển đổi số.,"Tôi có cơ hội tham gia các khóa học, các hội thảo về thực hiện chuyển đổi số trong học tập do trường tổ chức.",Giảng viên của tôi khi lên lớp có lồng ghép kiến thức về chuyển đổi số vào bài giảng.,"Giảng viên, bạn bè khuyến khích tôi ứng dụng công nghệ vào các hoạt động học tập.","Tôi có đủ thiết bị (máy tính, Internet…) và công cụ để ứng dụng công nghệ số trong học tập và công việc","Tôi được tiếp cận nền tảng, công cụ học trực tuyến (LMS, MOOCs, v.v.)",Tôi có thể sử dụng thành thạo các công cụ số  để ứng dụng trong học tập chuyên ngành của mình.,Tôi dễ dàng tiếp cận các công cụ số hỗ trợ cho công việc học tập.,Tôi sẵn sàng sử dụng công nghệ một cách thường xuyên trong học tập để thích ứng với chuyển đổi số.,Tôi thường xuyên cập nhật thông tin về xu hướng chuyển đổi số trong chuyên ngành của mình.,Tôi sẵn sàng học thêm kỹ năng số để nâng cao chất lượng học tập.,Tôi ủng hộ việc thực hiện chuyển đổi số trong dạy và học chuyên ngành ngôn ngữ.,Tôi sẵn sàng giới thiệu các công cụ số ứng dụng trong học tập cho các bạn học khác.,Tôi sẵn sàng chia sẻ kỹ năng số của mình cho các bạn học.
4/8/2025 12:03:22,Nữ,Năm thứ ba,Trên 3 năm,Miền Trung,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
4/8/2025 12:03:24,Nữ,Năm thứ tư,1 - 3 năm,Miền Trung,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3
4/8/2025 12:03:27,Nữ,Năm thứ tư,1 - 3 năm,Miền Trung,2,5,3,3,2,2,4,4,5,4,4,5,5,5,4,5,5,5
4/8/2025 12:03:40,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 12:04:13,Nữ,Năm thứ ba,Dưới 1 năm,Miền Trung,5,5,2,5,5,4,4,5,2,5,5,5,4,5,5,5,5,5
4/8/2025 12:04:17,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,4,5,4,3,4,5,5,4,2,5,5,5,5,5,5,5,5,5
4/8/2025 12:04:17,Nữ,Năm thứ tư,1 - 3 năm,Miền Trung,3,4,5,3,3,2,3,4,5,4,4,4,4,4,5,4,4,4
4/8/2025 12:04:18,Nữ,Năm thứ nhất,Trên 3 năm,Miền Trung,5,5,5,4,4,3,3,4,5,4,4,4,4,3,4,4,5,5
4/8/2025 12:04:19,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,4,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5
4/8/2025 12:04:20,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,4,5,4,4,4,4,5,5,4,4,4,4,3,4,4,5,4,4
4/8/2025 12:04:35,Nữ,Năm thứ nhất,1 - 3 năm,Miền Trung,5,5,3,3,4,4,4,4,4,4,3,4,4,5,5,5,5,5
4/8/2025 12:04:57,Nữ,Năm thứ nhất,Dưới 1 năm,Miền Trung,4,5,3,4,5,3,4,5,5,5,3,4,4,4,5,5,5,5
4/8/2025 12:05:02,Nữ,Năm thứ tư,1 - 3 năm,Miền Trung,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/8/2025 12:06:39,Nữ,Năm thứ nhất,Dưới 1 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 12:07:00,Nữ,Năm thứ tư,Dưới 1 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5
4/8/2025 12:07:18,Nữ,Năm thứ nhất,1 - 3 năm,Miền Trung,4,2,2,3,2,3,3,4,1,1,2,2,2,1,2,1,2,1
4/8/2025 12:09:23,Nữ,Năm thứ ba,Dưới 1 năm,Miền Trung,2,3,3,3,3,2,3,3,3,2,2,2,3,2,3,3,3,3
4/8/2025 12:11:46,Nữ,Năm thứ nhất,1 - 3 năm,Miền Trung,3,3,3,2,2,1,1,4,5,4,3,3,5,5,5,4,4,4
4/8/2025 12:14:17,Nữ,Năm thứ nhất,Trên 3 năm,Miền Trung,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5
4/8/2025 12:14:27,Nữ,Năm thứ tư,Dưới 1 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
4/8/2025 12:16:51,Nữ,Năm thứ nhất,1 - 3 năm,Miền Trung,3,4,3,3,5,5,3,3,5,5,4,3,4,4,5,4,4,4
4/8/2025 12:19:29,Nữ,Năm thứ nhất,1 - 3 năm,Miền Trung,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
4/8/2025 12:26:33,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,4,5
4/8/2025 12:27:15,Nữ,Năm thứ ba,Trên 3 năm,Miền Trung,5,5,5,3,3,3,3,3,4,3,3,4,5,5,5,5,5,5
4/8/2025 12:27:52,Nữ,Năm thứ nhất,1 - 3 năm,Miền Nam,3,4,3,2,2,3,4,4,4,4,4,4,4,3,4,4,4,3
4/8/2025 12:30:57,Nữ,Năm thứ ba,Trên 3 năm,Miền Trung,5,5,4,2,2,1,4,4,5,5,4,3,4,4,4,4,5,5
4/8/2025 12:31:04,Nữ,Năm thứ nhất,Trên 3 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5
4/8/2025 12:38:39,Nữ,Năm thứ tư,"1 - 3 năm, Trên 3 năm",Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 12:48:56,Nữ,Năm thứ nhất,1 - 3 năm,Miền Trung,5,5,5,5,5,5,5,5,3,5,4,4,5,5,5,5,5,5
4/8/2025 12:51:52,Nữ,Năm thứ tư,1 - 3 năm,Miền Trung,5,4,2,3,3,3,3,3,3,4,2,3,3,3,3,4,4,4
4/8/2025 12:55:36,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,5,5,3,3,4,3,3,3,5,3,4,3,4,3,3,3,3,3
4/8/2025 12:56:14,Nữ,Năm thứ nhất,Trên 3 năm,Miền Bắc,5,5,5,2,1,3,5,3,5,5,5,5,5,5,5,5,5,5
4/8/2025 12:56:31,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,4,4,3,3,3,3,4,3,5,3,3,3,4,4,4,4,3,3
4/8/2025 12:56:48,Nam,Năm thứ nhất,Dưới 1 năm,Miền Bắc,5,5,4,4,4,5,3,4,5,3,3,5,5,3,5,5,5,5
4/8/2025 12:57:01,Nữ,Năm thứ nhất,Trên 3 năm,Miền Bắc,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/8/2025 12:57:07,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,4,4,5,2,3,3,4,5,4,2,3,3,3,2,5,5,3,4
4/8/2025 12:57:32,Nữ,Năm thứ nhất,Trên 3 năm,Miền Bắc,4,5,5,3,4,3,5,4,5,3,4,5,5,4,5,5,3,3
4/8/2025 12:57:45,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,3,1,2,2,2,2,1,1,1,2,2,2,1,2,2,2,3,2
4/8/2025 12:57:56,Nữ,Năm thứ nhất,Dưới 1 năm,Miền Bắc,5,5,3,3,3,3,4,4,4,3,3,3,4,3,4,4,4,4
4/8/2025 12:58:44,Nam,Năm thứ nhất,Trên 3 năm,Miền Bắc,5,3,4,3,3,3,4,3,4,3,5,4,4,3,3,3,3,3
4/8/2025 12:58:51,Nữ,Năm thứ nhất,Trên 3 năm,Miền Bắc,4,4,4,4,4,3,4,4,5,3,4,3,5,3,5,5,4,4
4/8/2025 12:59:02,Nữ,Năm thứ nhất,Dưới 1 năm,Miền Bắc,4,4,4,4,4,5,5,4,5,4,3,4,4,4,4,4,4,4
4/8/2025 13:01:34,"Nam, Nữ",Năm thứ ba,Trên 3 năm,"Miền Bắc, Miền Trung",5,5,4,3,4,2,4,4,5,4,4,4,4,5,5,5,5,5
4/8/2025 13:06:17,Nữ,Năm thứ nhất,Trên 3 năm,Miền Trung,5,5,5,4,4,5,5,5,5,5,3,4,4,4,5,4,4,4
4/8/2025 13:10:47,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,3,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5
4/8/2025 13:14:12,Nữ,Năm thứ hai,1 - 3 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,4,3
4/8/2025 13:18:57,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,4,4,3,3,3,4,3,5,5,5,5,5,5,5,5,5,5
4/8/2025 13:23:06,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,5,5,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5
4/8/2025 13:26:33,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,3,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
4/8/2025 13:30:30,Nữ,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 13:30:59,Nữ,Năm thứ nhất,Dưới 1 năm,Miền Trung,5,5,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4
4/8/2025 13:32:00,Nữ,Năm thứ ba,Dưới 1 năm,Miền Trung,2,2,1,1,5,5,5,5,1,1,2,5,5,1,2,1,2,2
4/8/2025 13:34:46,Nam,Năm thứ tư,Trên 3 năm,Miền Trung,5,5,5,4,2,3,3,5,5,5,5,5,3,4,4,5,5,5
4/8/2025 13:36:43,Nam,Năm thứ ba,1 - 3 năm,Miền Bắc,3,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5
4/8/2025 13:36:44,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 13:36:57,Nam,Năm thứ ba,1 - 3 năm,"Miền Bắc, Miền Trung",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 13:37:59,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,5,5,2,5,5,4,5,5,5,2,5,5,5,5,5,5,5,5
4/8/2025 13:38:20,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,4,4,4,4,4,2,4,4,4,2,4,4,4,4,4,4,4
4/8/2025 13:39:22,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,4,3,4,4,4,5,4,3,4,4,4,4,4,4,4,3,3,4
4/8/2025 13:39:28,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,5,5,5,4,4,3,4,5,3,4,2,4,5,4,4,4,4,4
4/8/2025 13:39:55,Nữ,Năm thứ tư,1 - 3 năm,Miền Bắc,4,4,3,5,5,5,3,4,5,4,3,3,4,4,5,5,5,5
4/8/2025 13:40:10,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 13:40:13,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,5,5,5,5,4,5,5,5,2,5,4,4,2,5,4,5,1
4/8/2025 13:40:37,Nữ,Năm thứ nhất,Trên 3 năm,Miền Trung,3,3,2,4,4,3,3,3,5,4,3,3,3,3,3,3,3,3
4/8/2025 13:40:53,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
4/8/2025 13:41:32,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 13:42:15,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,3,5,3,4,3,4,4,4,5,4,4,5,4,4,4,5,4,4
4/8/2025 13:42:46,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,4,4,3,2,3,4,5,5,3,2,4,5,3,3,4,4,4
4/8/2025 13:43:28,Nữ,Năm thứ tư,1 - 3 năm,Miền Nam,3,4,4,5,5,4,5,5,5,3,3,5,5,3,5,4,5,5
4/8/2025 13:43:36,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,5,4,3,4,4,3,4,5,4,4,5,4,5,4,4,4,4
4/8/2025 13:44:18,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,4,5,4,4,4,5,4,5,5,3,3,4,4,4,5,5,5,5
4/8/2025 13:44:55,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,4,4,3,2,3,4,4,5,3,3,4,4,3,5,3,3,3
4/8/2025 13:45:18,Nữ,Khác,1 - 3 năm,Miền Nam,4,4,2,4,4,2,5,5,5,4,2,4,5,5,4,5,5,4
4/8/2025 13:45:33,Nữ,Khác,Trên 3 năm,Miền Nam,4,4,4,4,4,4,4,4,5,4,4,4,5,5,5,5,5,5
4/8/2025 13:45:48,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 13:45:52,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,3,4,3,4,3,2,4,5,5,2,3,3,4,3,5,4,4,3
4/8/2025 13:45:54,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,2,2,2,4,2,2,2,4,4,4,3,4,5,4,5,5,5,5
4/8/2025 13:46:18,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,2,2,3,2,3,4,4,3,2,3,3,3,2,3,3,2,3,3
4/8/2025 13:46:52,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,3,4,4,4,3,4,3,4,4,2,2,4,4,3,4,4,4,4
4/8/2025 13:46:56,Nữ,Khác,Dưới 1 năm,Miền Nam,4,5,3,3,3,2,4,4,4,2,3,3,5,4,4,4,3,3
4/8/2025 13:47:57,Nữ,Năm thứ nhất,Dưới 1 năm,Miền Bắc,3,3,3,4,3,3,3,3,4,3,3,3,3,3,4,4,4,4
4/8/2025 13:48:16,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4
4/8/2025 13:48:41,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,4,4,3,4,4,4,4,5,4,3,3,4,3,3,4,4,4,4
4/8/2025 13:49:10,Nữ,Năm thứ nhất,1 - 3 năm,Miền Bắc,5,5,4,4,3,4,3,4,5,4,3,4,4,3,5,4,4,4
4/8/2025 13:49:20,Nữ,Năm thứ tư,1 - 3 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 13:51:59,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 13:52:07,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
4/8/2025 13:52:14,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,4,4,4,4,5,5,4,4,4,4,5
4/8/2025 13:52:27,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,5,3,4,2,1,4,4,5,4,3,4,5,3,4,5,5,5
4/8/2025 13:52:53,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,5,4,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4
4/8/2025 13:52:56,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 13:53:21,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,4,3,3,4,4,4,4,3,4,4,4,4,5,5,5,5
4/8/2025 13:53:25,Nữ,"Năm thứ ba, Năm thứ tư",1 - 3 năm,Miền Bắc,4,5,3,5,4,3,4,4,3,4,3,3,5,4,5,4,5,5
4/8/2025 13:53:25,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,4,4,4,5,4,5,5,4,5,5,5,5,5,5,5,5
4/8/2025 13:53:31,Nữ,Năm thứ tư,1 - 3 năm,Miền Bắc,3,4,3,3,3,4,4,4,4,2,3,3,3,3,3,3,3,3
4/8/2025 13:53:32,"Nam, Nữ",Năm thứ ba,Trên 3 năm,Miền Bắc,3,3,4,4,4,3,4,4,4,4,3,3,3,3,5,3,3,4
4/8/2025 13:53:34,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,3,3,3,3,3,4,3,2,3,4,4,4,4,5,5,5
4/8/2025 13:53:37,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4/8/2025 13:53:45,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,4,5,3,4,5,5,5,5,4,5,5,5,4,5,5,5,5
4/8/2025 13:53:59,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,3,3,3,4,4,5,3,5,4,4,4,5,5,5,5
4/8/2025 13:54:02,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,5,4,3,3,3,4,5,5,2,2,2,3,1,5,5,4,5
4/8/2025 13:54:06,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,3,3,3,3,3,3,3,5,3,3,5,3,3,5,3,3,5
4/8/2025 13:54:11,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,2,4,4,3,4,4,5,3,3,2,2,4,3,5,5,5
4/8/2025 13:54:13,Nam,Năm thứ ba,Dưới 1 năm,Miền Bắc,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3
4/8/2025 13:54:20,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,4,3
4/8/2025 13:55:05,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,2,1,3,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2
4/8/2025 13:55:08,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,3,1,2,3,4,3,2,2,3,3,3,3,3,3,3,2,2,2
4/8/2025 13:55:22,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,1,5,4,5,4,2,3,3,3,3,3,3,3,2,2,3,4,4
4/8/2025 13:56:33,Nữ,Năm thứ tư,1 - 3 năm,Miền Nam,3,5,4,5,4,2,4,4,5,5,3,5,5,3,5,5,5,5
4/8/2025 13:56:57,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,4,4,3,3,3,4,3,4,4,3,3,5,5,5,5,5,5
4/8/2025 13:57:28,Nam,Khác,Trên 3 năm,Miền Nam,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4
4/8/2025 13:58:10,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,5,4,4,4,4,5,5,4,4,4,4,5,4,5,5,5,4
4/8/2025 13:59:18,Nam,Năm thứ ba,Dưới 1 năm,Miền Bắc,3,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:02:09,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,5,5,4,5,5,5,3,5,5,3,3,4,5,5,5,5,5,5
4/8/2025 14:04:19,Nam,Năm thứ ba,1 - 3 năm,Miền Bắc,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:05:19,Nữ,Năm thứ nhất,Dưới 1 năm,Miền Trung,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:06:27,Nữ,Năm thứ ba,1 - 3 năm,Miền Trung,4,4,3,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4
4/8/2025 14:08:46,Nam,Năm thứ ba,Trên 3 năm,Miền Bắc,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/8/2025 14:09:57,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,5,5,5,3,5,2,4,5,4,4,4,4,5,4,5,5,5,3
4/8/2025 14:15:09,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:17:29,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:18:31,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:18:48,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:19:00,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,2,5,5,2,2,2,4,5,4,4,3,5,3,4,3,5,5,5
4/8/2025 14:19:31,Nữ,Khác,1 - 3 năm,Miền Nam,4,5,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4
4/8/2025 14:20:54,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,5
4/8/2025 14:21:19,Nữ,Năm thứ ba,1 - 3 năm,Miền Bắc,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3
4/8/2025 14:21:46,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,4,4,3,4,3,3,3,4,4,3,5,4,3,4,4,4,4,5
4/8/2025 14:23:42,Nữ,Khác,Trên 3 năm,Miền Nam,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:24:36,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,3,2,5,3,2,4,1,4,5,4,5,3,2,1,3,5,5,4
4/8/2025 14:24:41,Nữ,Năm thứ tư,1 - 3 năm,Miền Nam,4,4,4,5,5,5,5,4,5,4,4,4,4,4,4,4,4,5
4/8/2025 14:24:58,Nữ,Năm thứ ba,Dưới 1 năm,Miền Bắc,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4/8/2025 14:25:58,Nam,Năm thứ ba,"1 - 3 năm, Trên 3 năm",Miền Bắc,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4/8/2025 14:26:08,Nữ,Năm thứ ba,Trên 3 năm,Miền Bắc,4,4,4,3,3,2,3,3,3,3,3,4,4,3,4,4,4,4
4/8/2025 14:28:00,Nữ,Năm thứ nhất,1 - 3 năm,Miền Trung,5,5,3,5,4,3,5,5,5,5,4,4,5,5,5,5,5,5
4/8/2025 14:29:47,Nữ,Năm thứ tư,Trên 3 năm,Miền Nam,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4
